student_id,degree,concentration,requirement,course_code,need_status,prereq_ready,missing_prerequisites,readiness_reason
U00000002,TAR,TAA,Contemporary Performance Theory,THE4562,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Introduction to Entertainment Design,TPA3007C,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Technical Theatre Practicum I,TPA2290,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Lower Level Practicum,TPA2290,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Lower Level Practicum,TPP2190,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Upper Level Practicum,TPA4293,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Upper Level Practicum,TPP4193,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Performance Elective ,TPP3155,missing,yes,,all prerequisites are complete or in progress
U00000002,TAR,TAA,Performance Elective ,TPP4180,missing,no,TPP3155,one or more prerequisites are missing
U00000002,TAR,TAA,Performance Elective ,TPP3510,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Performance Elective ,TPP3790,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Performance Elective ,TPP4235,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Performance Elective ,TPP3230,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Performance Elective ,TPP3251C,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Performance Elective ,TPP3252C,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Performance Elective ,TPP3580,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Performance Elective ,TPP4221,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Performance Elective ,TPP310,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Performance Elective ,TPP4600,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Performance Elective ,TPP4920,missing,yes,,no prerequisites listed
U00000002,TAR,TAA,Performance Elective ,TPP4923,missing,yes,,no prerequisites listed
U00000003,TAR,TAP,Contemporary Performance Theory,THE4562,missing,yes,,no prerequisites listed
U00000003,TAR,TAP,Ensemble Studio,TPP4235,missing,yes,,no prerequisites listed
U00000005,TAR,TAP,Contemporary Performance Theory,THE4562,missing,yes,,no prerequisites listed
U00000005,TAR,TAP,Ensemble Studio,TPP4235,missing,yes,,no prerequisites listed
U00000008,TAR,TAP,Contemporary Performance Theory,THE4562,missing,yes,,no prerequisites listed
U00000008,TAR,TAP,Ensemble Studio,TPP4235,missing,yes,,no prerequisites listed
U00000009,TAR,TAP,Contemporary Performance Theory,THE4562,missing,yes,,no prerequisites listed
U00000009,TAR,TAP,Ensemble Studio,TPP4235,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Script Analysis,THE2305,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Theatre History Elective,THE3110,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Theatre History Elective,THE3111,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Theatre Lit Elective,THE4330,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Theatre Lit Elective,THE4401,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Theatre Lit Elective,THE4434,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Theatre Lit Elective,THE4480,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Theatre Hist/Theory Elective,THE3110,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Theatre Hist/Theory Elective,THE3111,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Theatre Hist/Theory Elective,THE4264,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Theatre Hist/Theory Elective,THE4283,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Theatre Hist/Theory Elective,THE4574,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Theatre Hist/Theory Elective,THE4930,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Contemporary Performance Theory,THE4562,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Introduction to Entertainment Design,TPA3007C,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Technical Theatre Practicum I,TPA2290,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Upper Level Practicum,TPA4293,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Upper Level Practicum,TPP4193,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Movement for Actors,TPP3510,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Voice for Actors,TPP3790,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Acting II,TPP3155,missing,no,THE2305,one or more prerequisites are missing
U00000011,TAR,TAP,Acting III,TPP4180,missing,no,TPP3155,one or more prerequisites are missing
U00000011,TAR,TAP,Ensemble Studio,TPP4235,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Performance Electives,TPP3230,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Performance Electives,TPP3251C,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Performance Electives,TPP3252C,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Performance Electives,TPP3580,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Performance Electives,TPP4221,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Performance Electives,TPP310,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Performance Electives,TPP4600,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Performance Electives,TPP4920,missing,yes,,no prerequisites listed
U00000011,TAR,TAP,Performance Electives,TPP4923,missing,yes,,no prerequisites listed
U00000012,TAR,TAA,Contemporary Performance Theory,THE4562,missing,yes,,no prerequisites listed
U00000012,TAR,TAA,Performance Elective ,TPP3155,missing,yes,,all prerequisites are complete or in progress
U00000012,TAR,TAA,Performance Elective ,TPP4180,missing,no,TPP3155,one or more prerequisites are missing
U00000012,TAR,TAA,Performance Elective ,TPP3510,missing,yes,,no prerequisites listed
U00000012,TAR,TAA,Performance Elective ,TPP3790,missing,yes,,no prerequisites listed
U00000012,TAR,TAA,Performance Elective ,TPP4235,missing,yes,,no prerequisites listed
U00000012,TAR,TAA,Performance Elective ,TPP3230,missing,yes,,no prerequisites listed
U00000012,TAR,TAA,Performance Elective ,TPP3251C,missing,yes,,no prerequisites listed
U00000012,TAR,TAA,Performance Elective ,TPP3252C,missing,yes,,no prerequisites listed
U00000012,TAR,TAA,Performance Elective ,TPP3580,missing,yes,,no prerequisites listed
U00000012,TAR,TAA,Performance Elective ,TPP4221,missing,yes,,no prerequisites listed
U00000012,TAR,TAA,Performance Elective ,TPP310,missing,yes,,no prerequisites listed
U00000012,TAR,TAA,Performance Elective ,TPP4600,missing,yes,,no prerequisites listed
U00000012,TAR,TAA,Performance Elective ,TPP4920,missing,yes,,no prerequisites listed
U00000012,TAR,TAA,Performance Elective ,TPP4923,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Theatre Lit Elective,THE4330,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Theatre Lit Elective,THE4401,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Theatre Lit Elective,THE4434,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Theatre Lit Elective,THE4480,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Contemporary Performance Theory,THE4562,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Introduction to Entertainment Design,TPA3007C,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Upper Level Practicum,TPA4293,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Upper Level Practicum,TPP4193,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Performance Elective ,TPP3155,missing,yes,,all prerequisites are complete or in progress
U00000013,TAR,TAA,Performance Elective ,TPP4180,missing,no,TPP3155,one or more prerequisites are missing
U00000013,TAR,TAA,Performance Elective ,TPP3510,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Performance Elective ,TPP3790,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Performance Elective ,TPP4235,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Performance Elective ,TPP3230,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Performance Elective ,TPP3251C,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Performance Elective ,TPP3252C,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Performance Elective ,TPP3580,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Performance Elective ,TPP4221,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Performance Elective ,TPP310,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Performance Elective ,TPP4600,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Performance Elective ,TPP4920,missing,yes,,no prerequisites listed
U00000013,TAR,TAA,Performance Elective ,TPP4923,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Contemporary Performance Theory,THE4562,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Acting I,TPP2110,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Introduction to Entertainment Design,TPA3007C,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Introduction to Technical Theatre,TPA2200,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Intro to Tech Lab,TPA2200L,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Technical Theatre Practicum I,TPA2290,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Lower Level Practicum,TPA2290,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Lower Level Practicum,TPP2190,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Upper Level Practicum,TPA4293,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Upper Level Practicum,TPP4193,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Performance Elective ,TPP3155,missing,no,TPP2110,one or more prerequisites are missing
U00000014,TAR,TAA,Performance Elective ,TPP4180,missing,no,TPP3155,one or more prerequisites are missing
U00000014,TAR,TAA,Performance Elective ,TPP3510,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Performance Elective ,TPP3790,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Performance Elective ,TPP4235,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Performance Elective ,TPP3230,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Performance Elective ,TPP3251C,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Performance Elective ,TPP3252C,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Performance Elective ,TPP3580,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Performance Elective ,TPP4221,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Performance Elective ,TPP310,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Performance Elective ,TPP4600,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Performance Elective ,TPP4920,missing,yes,,no prerequisites listed
U00000014,TAR,TAA,Performance Elective ,TPP4923,missing,yes,,no prerequisites listed
U00000015,TAR,TAA,Theatre History Elective,THE3110,missing,yes,,no prerequisites listed
U00000015,TAR,TAA,Theatre History Elective,THE3111,missing,yes,,no prerequisites listed
U00000015,TAR,TAA,Theatre Lit Elective,THE4330,missing,yes,,no prerequisites listed
U00000015,TAR,TAA,Theatre Lit Elective,THE4401,missing,yes,,no prerequisites listed
U00000015,TAR,TAA,Theatre Lit Elective,THE4434,missing,yes,,no prerequisites listed
U00000015,TAR,TAA,Theatre Lit Elective,THE4480,missing,yes,,no prerequisites listed
U00000015,TAR,TAA,Theatre Hist/Theory Elective,THE3110,missing,yes,,no prerequisites listed
U00000015,TAR,TAA,Theatre Hist/Theory Elective,THE3111,missing,yes,,no prerequisites listed
U00000015,TAR,TAA,Theatre Hist/Theory Elective,THE4264,missing,yes,,no prerequisites listed
U00000015,TAR,TAA,Theatre Hist/Theory Elective,THE4283,missing,yes,,no prerequisites listed
U00000015,TAR,TAA,Theatre Hist/Theory Elective,THE4574,missing,yes,,no prerequisites listed
