Degree,Conc,Requirement,Course or Credit,Quantity,Courses Accepted
TAR,Core,Theatre and Culture,Course,1,THE2000
TAR,Core,Entry Seminar,Course,1,THE2023
TAR,Core,Script Analysis,Course,1,THE2305
TAR,Core,Theatre History Elective,Course,1,"THE3110,THE3111"
TAR,Core,Theatre Lit Elective,Course,1,"THE4330,THE4401,THE4434,THE4480"
TAR,Core,Theatre Hist/Theory Elective,Course,1,"THE3110,THE3111,THE4264,THE4283,THE4574,THE4930"
TAR,Core,Contemporary Performance Theory,Course,1,THE4562
TAR,Core,Acting I,Course,1,TPP2110
TAR,Core,Introduction to Entertainment Design,Course,1,TPA3007C
TAR,Core,Introduction to Technical Theatre,Course,1,TPA2200
TAR,Core,Intro to Tech Lab,Course,1,TPA2200L
TAR,Core,Technical Theatre Practicum I,Course,1,TPA2290
TAR,Core,Lower Level Practicum,Course,1,"TPA2290,TPP2190"
TAR,Core,Upper Level Practicum,Course,2,"TPA4293,TPP4193"
TAR,TAP,Movement for Actors,Course,1,TPP3510
TAR,TAP,Voice for Actors,Course,1,TPP3790
TAR,TAP,Acting II,Course,1,TPP3155
TAR,TAP,Acting III,Course,1,TPP4180
TAR,TAP,Ensemble Studio,Course,1,TPP4235
TAR,TAP,Performance Electives,Credits,9,"TPP3230,TPP3251C,TPP3252C,TPP3580,TPP4221,TPP310,TPP4600,TPP4920,TPP4923"
TAR,TDAT,Drafting and CAD,Course,1,TPA3208
TAR,TDAT,Theatre Technology,Course,2,"TPA3223C,TPA231C,TPA3289C"
TAR,TDAT,Theatre Design,Course,2,"TPA4011C,TPA4013C,TPA4045C"
TAR,TDAT,Portfolio,Course,1,TPA4993C
TAR,TDAT,Advanced Design Practicum,Course,1,TPA4298
TAR,TAA,Performance Elective ,Credits,3,"TPP3155,TPP4180,TPP3510,TPP3790,TPP4235,TPP3230,TPP3251C,TPP3252C,TPP3580,TPP4221,TPP310,TPP4600,TPP4920,TPP4923"
TAR,TAA,Theatre Arts Electives Upper Level,Credits,9,"THE3110,THE3111,THE4330,THE4401,THE4434,THE4480,THE4264,THE4283,THE4930,TPP3155,TPP4180,TPP3510,TPP3790,TPP4235,TPP3230,TPP3251C,TPP3252C,TPP3580,TPP4221,TPP310,TPP4600,TPP4920,TPP4923,TPA3208,TPA3223C,TPA3231C,TPA3289C,TPA4011C,TPA4013C,TPA4045C,TPA4993C,TPA4298,TPA4293,TPP4193"
TAR,TAA,Theatre Arts Electives,Credits,9,"THE3110,THE3111,THE4330,THE4401,THE4434,THE4480,THE4264,THE4283,THE4930,TPP3155,TPP4180,TPP3510,TPP3790,TPP4235,TPP3230,TPP3251C,TPP3252C,TPP3580,TPP4221,TPP310,TPP4600,TPP4920,TPP4923,TPA3208,TPA3223C,TPA3231C,TPA3289C,TPA4011C,TPA4013C,TPA4045C,TPA4993C,TPA4298,TPA2290,TPA4293,TPP2190,TPP4193"
