Prefix,Number,Course Title,Section,CRN,Semester,UID,Name,Registration,Date,Midterm,Final,Grade Mode,Credits,Final Grade Entered,Passing,Passing Override
TPP,2110,Acting 1,,,,U00000001,Student 1,,,,B+,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000002,Student 2,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000003,Student 3,,,,B+,R,3,Y,c,
TPP,3510,Movement for Actors,,,,U00000003,Student 3,,,,A,R,3,Y,c,
TPP,3790,Voice for Actors,,,,U00000003,Student 3,,,,B+,R,3,Y,c,
TPP,3155,Acting 2,,,,U00000003,Student 3,,,,B+,R,3,Y,c,
TPP,4180,Acting 3,,,,U00000003,Student 3,,,,,R,3,N,ip,
TPP,4310,Directing 1,,,,U00000003,Student 3,,,,A,R,3,Y,c,
TPP,4600,Writing For The Theatre,,,,U00000003,Student 3,,,,B+,R,3,Y,c,
TPP,4920,Special Topics in Performance,,,,U00000003,Student 3,,,,B,R,3,Y,c,
TPP,4923,Music Theatre Workshop,,,,U00000003,Student 3,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000004,Student 4,,,,A-,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000005,Student 5,,,,A+,R,3,Y,c,
TPP,3510,Movement for Actors,,,,U00000005,Student 5,,,,A,R,3,Y,c,
TPP,3790,Voice for Actors,,,,U00000005,Student 5,,,,,R,3,N,ip,
TPP,3155,Acting 2,,,,U00000005,Student 5,,,,B+,R,3,Y,c,
TPP,4180,Acting 3,,,,U00000005,Student 5,,,,,R,3,N,ip,
TPP,4920,Special Topics in Performance,,,,U00000005,Student 5,,,,B+,R,3,Y,c,
TPP,4923,Music Theatre Workshop,,,,U00000005,Student 5,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000006,Student 6,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000007,Student 7,,,,A-,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000008,Student 8,,,,A,R,3,Y,c,
TPP,3510,Movement for Actors,,,,U00000008,Student 8,,,,B-,R,3,Y,c,
TPP,3790,Voice for Actors,,,,U00000008,Student 8,,,,,R,3,N,ip,
TPP,3155,Acting 2,,,,U00000008,Student 8,,,,A,R,3,Y,c,
TPP,4180,Acting 3,,,,U00000008,Student 8,,,,A,R,3,Y,c,
TPP,4221,Audition Workshop for Actors,,,,U00000008,Student 8,,,,B-,R,3,Y,c,
TPP,4310,Directing 1,,,,U00000008,Student 8,,,,B,R,3,Y,c,
TPP,4600,Writing For The Theatre,,,,U00000008,Student 8,,,,A-,R,3,Y,c,
TPP,4920,Special Topics in Performance,,,,U00000008,Student 8,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000009,Student 9,,,,A+,R,3,Y,c,
TPP,3510,Movement for Actors,,,,U00000009,Student 9,,,,A+,R,3,Y,c,
TPP,3790,Voice for Actors,,,,U00000009,Student 9,,,,,R,3,N,ip,
TPP,3155,Acting 2,,,,U00000009,Student 9,,,,A-,R,3,Y,c,
TPP,4180,Acting 3,,,,U00000009,Student 9,,,,,R,3,N,ip,
TPP,4920,Special Topics in Performance,,,,U00000009,Student 9,,,,A,R,3,Y,c,
TPP,4923,Music Theatre Workshop,,,,U00000009,Student 9,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000010,Student 10,,,,A,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000011,Student 11,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000012,Student 12,,,,B-,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000013,Student 13,,,,A,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000015,Student 15,,,,B+,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000016,Student 16,,,,A,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000017,Student 17,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000018,Student 18,,,,C+,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000019,Student 19,,,,B,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000020,Student 20,,,,A+,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000021,Student 21,,,,B,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000022,Student 22,,,,B,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000023,Student 23,,,,C+,R,3,Y,c,
TPP,3510,Movement for Actors,,,,U00000023,Student 23,,,,A,R,3,Y,c,
TPP,3790,Voice for Actors,,,,U00000023,Student 23,,,,,R,3,N,ip,
TPP,3155,Acting 2,,,,U00000023,Student 23,,,,,R,3,N,ip,
TPP,4920,Special Topics in Performance,,,,U00000023,Student 23,,,,A-,R,3,Y,c,
TPP,4923,Music Theatre Workshop,,,,U00000023,Student 23,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000024,Student 24,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000025,Student 25,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000026,Student 26,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000027,Student 27,,,,C+,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000028,Student 28,,,,A+,R,3,Y,c,
TPP,3510,Movement for Actors,,,,U00000028,Student 28,,,,B-,R,3,Y,c,
TPP,3790,Voice for Actors,,,,U00000028,Student 28,,,,,R,3,N,ip,
TPP,3155,Acting 2,,,,U00000028,Student 28,,,,A+,R,3,Y,c,
TPP,4180,Acting 3,,,,U00000028,Student 28,,,,,R,3,N,ip,
TPP,4920,Special Topics in Performance,,,,U00000028,Student 28,,,,C+,R,3,Y,c,
TPP,4923,Music Theatre Workshop,,,,U00000028,Student 28,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000029,Student 29,,,,B-,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000030,Student 30,,,,A,R,3,Y,c,
TPP,3510,Movement for Actors,,,,U00000030,Student 30,,,,C+,R,3,Y,c,
TPP,3790,Voice for Actors,,,,U00000030,Student 30,,,,,R,3,N,ip,
TPP,3155,Acting 2,,,,U00000030,Student 30,,,,,R,3,N,ip,
TPP,4923,Music Theatre Workshop,,,,U00000030,Student 30,,,,A,R,3,Y,c,
TPP,3230,Laboratory Workshop in Performance,,,,U00000030,Student 30,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000031,Student 31,,,,A-,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000032,Student 32,,,,A,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000033,Student 33,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000034,Student 34,,,,B+,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000035,Student 35,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000036,Student 36,,,,,R,3,N,ip,
TPP,2110,Acting 1,,,,U00000037,Student 37,,,,A-,R,3,Y,c,
TPP,2110,Acting 1,,,,U00000038,Student 38,,,,B-,R,3,Y,c,
TPP,3510,Movement for Actors,,,,U00000038,Student 38,,,,B-,R,3,Y,c,
TPP,3155,Acting 2,,,,U00000038,Student 38,,,,A+,R,3,Y,c,
TPP,3790,Voice for Actors,,,,U00000038,Student 38,,,,,R,3,N,ip,
TPP,4180,Acting 3,,,,U00000038,Student 38,,,,C+,R,3,Y,c,
TPP,4221,Audition Workshop for Actors,,,,U00000038,Student 38,,,,A,R,3,Y,c,
